Observation Space Shape: (4, 3, 11, 11)
ppo_basic.py:369: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  state_agents = torch.tensor(state_agents, device = self.PPO.device, dtype=torch.float32)
episode: 16870 | step: 65400 | reward: -2.5792 | episode length: 3.830188679245283
episode: 16925 | step: 65600 | reward: -2.4982 | episode length: 3.6545454545454548
episode: 16974 | step: 65800 | reward: -2.4000 | episode length: 3.938775510204082
episode: 17030 | step: 66000 | reward: -2.3670 | episode length: 3.7142857142857144
episode: 17083 | step: 66200 | reward: -2.2557 | episode length: 3.7358490566037736
episode: 17136 | step: 66400 | reward: -2.2726 | episode length: 3.7358490566037736
episode: 17185 | step: 66600 | reward: -2.5357 | episode length: 4.1020408163265305
episode: 17240 | step: 66800 | reward: -2.1836 | episode length: 3.672727272727273
episode: 17286 | step: 67000 | reward: -2.7283 | episode length: 4.3478260869565215
episode: 17334 | step: 67200 | reward: -2.3594 | episode length: 4.145833333333333
episode: 17387 | step: 67400 | reward: -2.3453 | episode length: 3.7735849056603774
episode: 17439 | step: 67600 | reward: -2.4029 | episode length: 3.8076923076923075
episode: 17486 | step: 67800 | reward: -2.3532 | episode length: 4.276595744680851
episode: 17539 | step: 68000 | reward: -2.3415 | episode length: 3.830188679245283
episode: 17588 | step: 68200 | reward: -2.5102 | episode length: 4.081632653061225
episode: 17637 | step: 68400 | reward: -2.4541 | episode length: 4.081632653061225
